No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
285,INFN,-1.21%,12.97%,8.60%,7.43%,-4.47%,-6.47%,3.73%,4.37%,2.80,2.20M,0.52,9.06,1.06%,"349,378"
286,INO,4.18%,-16.49%,-55.56%,-62.50%,-67.66%,-35.07%,7.80%,6.56%,2.70,4.60M,2.37,2.90,-10.49%,"3,358,772"
287,INPX,7.70%,-13.95%,-47.89%,-63.36%,-73.87%,-40.77%,12.68%,10.47%,-,1.25M,1.89,0.35,-0.96%,"725,110"
288,INSG,6.94%,15.18%,-27.79%,-43.10%,-54.82%,-18.01%,7.32%,6.03%,2.70,1.29M,2.29,4.52,-5.44%,"910,827"
289,INVZ,0.52%,2.94%,-45.23%,-49.01%,-69.25%,-39.27%,7.61%,6.83%,2.00,1.46M,0.95,3.55,-7.83%,"427,687"
290,IO,11.03%,25.62%,-67.95%,-53.64%,-82.02%,-36.26%,19.47%,12.05%,2.20,1.84M,0.93,0.57,1.84%,"529,589"
291,IPOF,0.88%,4.58%,0.29%,4.58%,-20.62%,0.88%,1.68%,0.95%,-,1.88M,0.77,10.25,-0.32%,"448,694"
292,IRNT,17.35%,63.97%,-42.97%,-65.21%,-52.30%,15.95%,32.75%,16.83%,3.00,4.53M,1.38,4.84,-0.63%,"1,923,660"
293,IRWD,-1.66%,-2.37%,-1.57%,-19.50%,12.17%,-8.32%,2.90%,3.18%,2.40,2.46M,0.43,10.90,2.01%,"328,094"
294,ISEE,10.81%,22.06%,7.05%,52.90%,156.78%,-3.71%,7.57%,5.40%,1.50,1.41M,0.63,16.14,0.22%,"273,389"
295,ISIG,-11.91%,-46.34%,43.11%,-9.82%,12.39%,-66.98%,10.41%,10.90%,-,6.35M,0.03,8.37,9.89%,"62,468"
296,ISPC,13.70%,-8.79%,-79.68%,-34.85%,-,-46.86%,11.38%,10.22%,2.00,1.85M,0.06,4.08,-1.69%,"33,917"
297,ITRM,9.39%,19.81%,-21.55%,-42.88%,-76.76%,-2.14%,11.99%,11.39%,3.00,1.98M,0.51,0.36,-5.50%,"314,335"
298,IVR,-7.08%,-18.92%,-31.60%,-32.04%,-47.37%,-24.46%,5.86%,4.35%,3.80,6.20M,0.90,2.12,0.71%,"1,727,339"
299,JAGX,-5.05%,-35.15%,-64.39%,-86.94%,-92.47%,-54.81%,10.83%,9.38%,1.50,3.32M,2.44,0.45,-4.04%,"2,492,019"
300,JMIA,16.48%,21.56%,-25.35%,-54.62%,-79.24%,-19.39%,12.63%,9.78%,-,5.28M,1.29,8.73,-5.00%,"2,105,671"
301,JOB,-2.08%,12.29%,18.61%,3.77%,-69.78%,-3.51%,5.74%,6.85%,2.00,1.18M,0.52,0.56,1.84%,"188,820"
302,JWEL,-6.10%,-10.36%,-71.47%,-47.14%,-,-87.15%,8.20%,7.32%,-,1.22M,0.05,2.77,0.07%,"18,917"
303,KAR,30.73%,26.52%,17.10%,7.62%,29.24%,15.75%,7.57%,5.00%,2.40,2.10M,0.87,18.78,3.87%,"560,438"
304,KAVL,13.89%,411.59%,120.77%,-48.75%,-91.70%,285.08%,22.95%,31.03%,-,10.05M,0.86,3.01,4.70%,"2,658,380"
305,KC,-1.17%,-8.68%,-61.87%,-77.74%,-89.46%,-57.27%,10.56%,9.58%,1.90,2.42M,1.12,6.25,-7.13%,"831,878"
