No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
416,PROG,-7.91%,-5.19%,-58.97%,60.00%,-76.03%,-38.76%,13.64%,12.24%,2.50,13.79M,0.60,1.24,-3.26%,"2,570,274"
417,PRPL,1.06%,-25.49%,-46.99%,-77.19%,-84.88%,-56.82%,8.51%,7.60%,2.50,2.17M,3.53,6.30,10.03%,"2,358,996"
418,PRQR,-10.53%,-80.38%,-85.20%,-84.26%,-79.10%,-87.27%,8.50%,9.35%,1.60,1.60M,1.01,1.02,0.00%,"496,982"
419,PRTY,-4.26%,-10.60%,-30.53%,-39.10%,-48.60%,-27.29%,12.72%,9.12%,3.00,3.21M,0.91,4.22,4.20%,"904,377"
420,PRVB,-4.72%,50.48%,-4.57%,-3.40%,-51.36%,11.39%,8.73%,10.28%,2.00,1.03M,0.32,6.30,0.72%,"102,099"
421,PSTI,5.56%,4.91%,-35.96%,-42.23%,-72.15%,17.12%,9.33%,7.63%,2.00,1.51M,0.21,1.75,2.34%,"95,839"
422,PSTV,8.91%,11.51%,-26.67%,-41.18%,-59.41%,4.76%,10.64%,9.02%,-,3.39M,0.03,1.08,-2.07%,"35,099"
423,PTE,-8.02%,-17.88%,-14.15%,-45.10%,-73.29%,-33.56%,7.84%,10.17%,2.30,1.10M,0.26,0.40,1.31%,"88,818"
424,PTLO,2.54%,-4.11%,-43.73%,-,-,-36.55%,8.35%,7.56%,1.90,1.08M,0.40,23.67,-0.63%,"131,772"
425,PTN,7.89%,3.67%,-52.05%,-14.58%,-48.17%,-19.86%,6.50%,7.81%,1.30,3.00M,0.26,0.41,0.07%,"237,583"
426,PTPI,-6.38%,-18.52%,-67.00%,-43.10%,-61.40%,-60.36%,13.92%,9.91%,-,8.08M,0.04,1.37,3.41%,"108,779"
427,PTRA,0.86%,15.10%,-28.12%,-20.10%,-61.00%,-6.80%,10.24%,7.05%,2.30,2.51M,2.74,7.66,-6.93%,"2,125,050"
428,PUBM,-1.40%,15.07%,-35.03%,-7.72%,-62.62%,-25.55%,12.45%,9.01%,1.90,1.16M,2.42,24.46,-3.51%,"863,339"
429,PYR,0.50%,-9.46%,-37.77%,-51.45%,-71.29%,-24.15%,8.79%,9.13%,-,1.35M,0.02,2.01,-0.19%,"8,939"
430,QD,-9.71%,-9.09%,-44.37%,-52.42%,-64.74%,-18.49%,6.71%,6.41%,3.20,1.33M,0.86,0.85,8.15%,"352,578"
431,QLGN,-2.91%,-17.28%,-57.59%,-47.66%,-79.94%,-37.38%,12.76%,8.67%,2.00,2.43M,0.04,0.66,-0.81%,"30,682"
432,QNGY,5.08%,-59.73%,-66.90%,-66.70%,-68.48%,-66.93%,17.36%,26.78%,-,1.15M,1.29,3.20,-3.32%,"453,705"
433,QNRX,-2.50%,-5.65%,-73.77%,-94.11%,-91.78%,-35.71%,16.41%,11.72%,-,2.11M,0.11,1.19,1.71%,"68,212"
434,QSI,16.26%,4.42%,-24.84%,-50.00%,-65.50%,-40.03%,11.40%,9.91%,1.00,1.24M,0.57,4.50,-4.66%,"215,763"
435,QUOT,3.67%,-0.76%,-10.61%,-10.11%,-52.80%,-12.53%,5.81%,5.74%,2.20,1.13M,0.52,6.64,2.31%,"179,928"
436,RAD,-4.54%,-15.26%,-26.66%,-48.60%,-54.76%,-39.89%,5.51%,4.72%,3.50,2.51M,0.86,9.04,2.38%,"666,759"
437,RC,4.98%,7.78%,-3.85%,-1.90%,8.40%,-4.22%,3.94%,2.87%,1.90,1.05M,0.78,15.15,1.19%,"253,801"
438,RCAT,-6.01%,8.18%,-21.82%,-37.00%,-70.03%,-17.31%,5.93%,7.14%,2.00,1.25M,0.08,1.73,0.58%,"31,385"
439,RDUS,24.17%,21.55%,-47.38%,-36.64%,-53.78%,24.71%,8.20%,6.89%,3.20,1.41M,0.42,8.87,2.78%,"183,789"
440,REAL,7.64%,3.87%,-46.51%,-35.07%,-67.74%,-26.01%,15.41%,10.35%,2.10,3.27M,1.08,8.35,-2.79%,"1,087,178"
441,REE,-7.43%,-37.75%,-41.41%,-72.49%,-76.73%,-55.14%,9.91%,7.59%,2.20,1.33M,0.46,2.47,-0.80%,"189,026"
442,REI,11.99%,28.24%,22.01%,41.56%,51.39%,43.42%,6.82%,7.19%,2.30,2.03M,1.45,3.27,-0.15%,"908,714"
443,RELI,19.11%,33.40%,199.10%,134.04%,25.14%,3.57%,10.19%,13.77%,-,6.59M,0.13,6.87,3.00%,"263,068"
444,RENT,5.88%,11.20%,-60.55%,-,-,-29.33%,9.90%,10.38%,2.00,1.00M,0.29,5.97,3.65%,"89,232"
445,RES,6.27%,42.83%,101.67%,121.15%,39.08%,86.56%,6.35%,6.24%,3.10,1.02M,1.08,8.73,3.07%,"339,205"
446,RESN,0.92%,241.09%,110.53%,67.30%,-16.98%,157.31%,1.02%,4.79%,1.80,1.76M,1.66,4.39,-0.11%,"901,885"
447,RETA,32.23%,33.45%,-59.18%,-69.30%,-73.76%,26.01%,14.40%,8.76%,1.90,1.04M,0.66,32.00,-3.72%,"212,441"
448,RETO,0.81%,50.81%,27.18%,39.31%,-33.69%,-27.06%,11.28%,14.04%,-,1.94M,0.40,1.34,8.01%,"238,318"
449,RGLS,7.91%,1.60%,-42.46%,-70.24%,-83.21%,-28.57%,9.67%,8.59%,2.50,1.26M,5.05,0.26,15.51%,"1,966,782"
450,RGS,1.75%,20.83%,-37.63%,-68.13%,-86.19%,0.00%,8.45%,9.15%,2.50,1.56M,0.43,1.73,-0.57%,"208,790"
451,RIDE,-10.33%,9.80%,-43.49%,-58.42%,-86.94%,-22.03%,17.69%,11.54%,3.70,7.21M,3.00,2.41,-10.41%,"6,675,386"
452,RIGL,6.36%,4.58%,-7.04%,-33.95%,-41.70%,-5.28%,6.13%,5.21%,1.70,1.62M,1.66,2.79,11.16%,"829,361"
453,RMED,40.00%,-47.80%,-78.91%,-83.45%,-93.18%,-67.96%,34.62%,18.18%,2.00,4.10M,3.71,0.48,-3.96%,"4,692,035"
454,RMO,-9.09%,-9.57%,-57.71%,-66.27%,-86.70%,-53.42%,11.29%,10.37%,2.20,4.38M,3.61,1.54,-9.44%,"4,871,212"
455,RMTI,-4.01%,-13.04%,-25.84%,-49.62%,-76.92%,-19.51%,6.94%,9.10%,2.00,1.86M,0.06,0.34,3.09%,"36,125"
456,ROOT,12.99%,-2.25%,-57.25%,-72.77%,-87.16%,-43.87%,15.30%,10.44%,2.90,3.93M,0.75,1.66,-4.31%,"904,521"
457,RRD,0.84%,-1.09%,17.06%,132.62%,218.82%,-3.73%,0.42%,0.77%,2.00,1.96M,0.22,10.84,0.00%,0
458,RSKD,10.38%,12.92%,-23.94%,-77.59%,-,-6.62%,11.52%,8.24%,2.40,1.17M,1.09,6.90,-5.99%,"390,140"
459,RWT,0.00%,-13.94%,-23.68%,-18.00%,2.50%,-22.29%,3.65%,3.12%,1.70,1.29M,0.79,10.37,1.17%,"313,346"
460,RXRX,5.91%,0.28%,-43.31%,-56.26%,-,-37.19%,8.85%,8.27%,2.00,1.46M,0.18,10.83,0.65%,"82,890"
461,SAND,9.43%,27.44%,19.07%,18.88%,15.73%,19.84%,5.14%,4.11%,2.80,1.99M,1.15,7.34,-1.28%,"705,097"
462,SAVA,-3.23%,1.06%,-26.46%,-24.58%,-22.08%,-8.08%,10.12%,9.90%,2.00,2.51M,0.32,40.30,0.32%,"243,476"
463,SB,-6.79%,17.38%,8.71%,-1.20%,44.06%,9.28%,5.35%,5.60%,2.40,1.28M,0.55,4.25,3.16%,"217,250"
464,SBEV,-14.73%,-17.29%,72.77%,34.15%,-42.11%,182.53%,11.00%,13.97%,-,4.77M,0.21,3.56,7.88%,"312,910"
465,SBH,-3.25%,-2.23%,-17.64%,-11.00%,-7.18%,-9.70%,4.96%,4.68%,2.50,1.30M,2.26,17.88,7.26%,"904,462"
466,SDC,-7.69%,-15.35%,-34.82%,-61.80%,-82.17%,-13.19%,8.41%,9.68%,3.40,8.05M,1.01,1.96,-3.92%,"2,506,307"
467,SEAC,-3.17%,7.96%,45.19%,16.19%,1.67%,-23.75%,12.23%,10.53%,2.50,14.15M,0.14,1.22,0.00%,"626,751"
468,SEEL,-0.96%,-3.74%,-40.80%,-50.95%,-65.89%,-36.81%,9.41%,8.59%,1.70,2.24M,0.55,1.03,0.00%,"377,762"
469,SELB,-4.66%,-22.03%,-37.63%,-57.31%,-56.40%,-43.56%,7.45%,6.66%,1.60,1.11M,0.24,1.83,-0.54%,"80,929"
470,SENS,5.36%,-25.94%,-44.34%,-53.54%,-46.20%,-33.71%,12.52%,11.91%,2.60,13.82M,0.88,1.84,3.95%,"3,746,371"
471,SESN,-3.08%,-12.37%,-42.69%,-33.36%,-76.05%,-24.76%,8.52%,6.40%,2.30,2.73M,0.62,0.62,0.39%,"522,697"
472,SFIX,2.39%,-16.61%,-52.94%,-70.45%,-83.96%,-34.46%,8.83%,7.90%,2.90,3.93M,0.88,12.08,-2.58%,"1,071,572"
473,SFT,1.17%,-13.07%,-62.06%,-76.56%,-81.36%,-49.27%,16.83%,11.29%,1.90,3.90M,0.84,1.75,1.45%,"1,006,065"
474,SGH,-4.95%,-1.42%,-7.15%,12.70%,11.38%,-23.76%,5.41%,4.79%,1.70,1.07M,0.27,28.33,4.69%,"89,733"
475,SGLY,1.29%,79.64%,105.83%,130.72%,30.74%,48.01%,12.39%,14.86%,-,1.10M,0.51,6.84,-3.12%,"173,399"
476,SGMA,1.25%,6.46%,-2.30%,31.38%,50.75%,-21.78%,6.96%,6.48%,-,1.73M,0.04,8.08,0.00%,"21,744"
477,SGMO,2.44%,2.98%,-28.47%,-40.49%,-49.44%,-21.60%,6.77%,5.60%,2.10,1.43M,0.37,5.89,0.17%,"163,703"
478,SHCR,0.68%,-1.33%,-52.87%,-60.00%,-72.49%,-34.08%,7.93%,7.59%,1.30,1.51M,0.56,2.88,-2.70%,"261,388"
479,SHIP,-5.88%,12.00%,16.81%,-13.18%,-8.94%,21.95%,5.57%,5.48%,2.20,3.54M,1.37,1.17,4.23%,"1,496,818"
480,SKLZ,-17.73%,-31.25%,-68.74%,-71.95%,-91.04%,-60.08%,14.50%,11.38%,2.10,15.22M,0.86,2.86,-3.87%,"4,053,894"
481,SLCA,25.38%,48.99%,40.80%,58.74%,4.30%,49.79%,9.63%,6.56%,2.80,1.08M,1.21,14.06,-0.11%,"402,631"
482,SLDB,-11.10%,-30.77%,-55.87%,-70.26%,-92.51%,-54.11%,10.24%,8.21%,2.50,1.33M,0.27,0.81,0.93%,"110,958"
483,SLDP,6.47%,23.91%,-40.81%,-25.30%,-,-15.22%,10.55%,10.22%,-,2.30M,0.28,7.34,-0.88%,"201,605"
484,SLGC,4.85%,14.79%,-23.50%,-12.44%,-,-21.99%,6.94%,6.94%,1.30,1.10M,0.38,9.10,0.28%,"127,936"
485,SLI,3.49%,-11.40%,-42.88%,13.50%,113.11%,-36.60%,7.47%,8.80%,-,2.26M,0.47,6.19,-0.53%,"328,906"
486,SLQT,-2.78%,-60.78%,-68.15%,-68.50%,-90.20%,-69.09%,10.17%,11.38%,2.40,2.71M,2.37,2.63,-6.07%,"1,979,326"
487,SMFR,5.83%,12.38%,-47.65%,-60.66%,-82.53%,-22.65%,7.17%,7.25%,1.50,1.80M,0.31,3.42,-0.87%,"173,498"
488,SNAX,9.13%,1.54%,-31.69%,-65.80%,-74.61%,-33.42%,16.63%,9.94%,2.00,1.04M,0.35,2.70,2.66%,"111,393"
489,SNDL,-3.46%,11.49%,-20.39%,-32.28%,-63.37%,-12.59%,8.25%,8.54%,3.20,81.76M,0.81,0.52,2.87%,"20,322,772"
490,SNMP,59.74%,44.17%,-36.78%,-50.89%,-52.59%,-6.59%,21.68%,14.79%,2.00,1.33M,0.68,0.55,0.45%,"277,276"
491,SOL,19.42%,26.73%,-12.29%,-12.29%,-57.47%,4.19%,9.72%,6.95%,2.00,1.41M,0.71,5.99,-3.54%,"310,231"
492,SOLO,2.09%,9.55%,-35.22%,-44.29%,-68.29%,-14.47%,10.06%,7.73%,1.70,2.64M,0.79,1.99,1.79%,"642,166"
493,SONN,4.41%,2.71%,-47.57%,-45.80%,-86.83%,-26.65%,9.29%,7.92%,1.70,1.18M,8.45,0.35,15.51%,"3,064,909"
494,SOPA,-13.77%,-45.16%,-76.01%,-,-,-77.14%,13.61%,15.39%,-,9.99M,0.08,2.40,0.84%,"242,175"
495,SOS,-11.05%,13.01%,-45.28%,-73.36%,-89.54%,-13.49%,11.55%,12.78%,5.00,8.37M,0.78,0.70,-2.00%,"2,021,493"
496,SPCB,7.45%,21.57%,-14.82%,-47.01%,-56.64%,11.71%,19.24%,10.31%,2.00,1.30M,0.52,0.60,-2.44%,"208,865"
497,SPIR,-12.70%,-7.39%,-52.56%,-77.27%,-79.60%,-36.98%,9.76%,9.97%,2.20,1.11M,0.63,2.16,1.64%,"216,500"
498,SPPI,-0.78%,8.23%,-52.45%,-67.33%,-78.60%,-40.84%,11.46%,10.46%,2.20,5.92M,0.54,0.72,-4.02%,"979,264"
499,SPRB,0.48%,-10.97%,-18.22%,-71.60%,-89.05%,-52.69%,9.22%,8.62%,2.10,4.06M,0.04,2.12,0.47%,"46,959"
500,SPWH,10.42%,7.52%,-33.26%,-35.91%,-32.61%,-3.05%,4.56%,3.76%,2.50,1.60M,0.51,11.73,2.53%,"251,444"
501,SRGA,4.81%,-47.36%,-55.27%,-76.21%,-87.34%,-53.18%,9.39%,8.12%,2.00,3.62M,0.59,0.32,-5.19%,"657,910"
502,SRNE,-12.23%,-17.57%,-58.57%,-72.46%,-74.15%,-47.53%,7.49%,7.83%,2.00,6.92M,0.82,2.45,0.61%,"1,743,733"
503,SRRA,1.82%,20.39%,35.70%,55.71%,116.06%,46.69%,8.87%,8.92%,1.60,1.16M,0.12,31.31,-1.83%,"43,038"
504,STEM,-5.66%,-17.58%,-55.21%,-62.62%,-70.88%,-50.82%,14.39%,8.67%,1.80,4.14M,0.99,8.93,-4.33%,"1,267,575"
505,STNG,8.66%,30.17%,25.64%,12.46%,10.91%,38.10%,6.90%,5.33%,2.00,1.01M,1.11,17.47,-1.24%,"344,319"
506,STRN,9.46%,-25.35%,-54.37%,-,-,-73.22%,12.19%,11.76%,-,2.90M,0.11,1.62,-0.29%,"101,362"
507,SUMO,2.58%,6.24%,-17.11%,-42.86%,-59.59%,-12.09%,6.35%,5.50%,2.50,1.10M,0.40,11.71,-1.76%,"137,074"
508,SUNL,27.38%,62.12%,-1.38%,-21.90%,-61.48%,-10.46%,8.61%,7.52%,1.80,1.48M,0.51,4.12,-3.74%,"234,726"
509,SUNW,37.37%,27.32%,-44.94%,-65.15%,-81.32%,-14.98%,13.01%,10.48%,3.00,1.33M,2.14,2.56,-1.92%,"879,880"
510,SVC,-8.17%,2.11%,-8.17%,-27.41%,-31.98%,-6.60%,6.40%,5.32%,3.00,1.55M,0.61,8.39,2.19%,"292,210"
511,SVM,11.58%,25.40%,-3.66%,-8.56%,-30.94%,5.05%,5.94%,4.98%,-,1.29M,1.10,3.87,-2.03%,"436,702"
512,SWBI,8.62%,5.10%,-21.20%,-27.79%,1.04%,-1.63%,4.34%,3.32%,2.60,1.15M,0.60,17.82,1.77%,"211,865"
513,SXTC,4.85%,-20.53%,-76.84%,-84.82%,-91.68%,-73.40%,31.60%,15.99%,-,3.82M,41.25,0.26,49.02%,"48,582,455"
514,SYN,-0.65%,5.00%,-29.39%,-49.31%,-63.37%,-10.51%,9.40%,11.86%,2.00,1.93M,0.72,0.26,6.32%,"430,243"
515,SYTA,11.11%,-0.83%,-64.91%,-68.25%,-88.69%,-67.57%,13.63%,9.36%,-,5.19M,0.50,1.17,-2.08%,"793,079"
516,TACO,0.24%,0.00%,61.63%,45.63%,10.81%,0.48%,0.17%,0.24%,3.00,1.36M,0.61,12.51,0.00%,"257,643"
517,TAL,-13.99%,9.06%,-42.20%,-42.66%,-96.32%,-26.46%,13.33%,11.02%,3.00,11.72M,0.67,2.71,-6.23%,"2,418,438"
518,TALK,16.67%,15.83%,-27.80%,-69.04%,-84.77%,-18.27%,8.05%,7.80%,2.50,1.18M,2.33,1.58,-2.17%,"847,007"
519,TALO,39.58%,66.41%,65.28%,40.95%,63.71%,74.90%,9.20%,6.97%,1.80,1.32M,1.89,16.84,-1.75%,"771,104"
520,TBLT,12.25%,-34.59%,-55.96%,-68.66%,-84.34%,-52.79%,11.95%,11.04%,2.00,3.38M,8.64,0.19,11.09%,"8,996,035"
521,TBPH,12.31%,19.75%,34.49%,24.88%,-42.96%,-5.07%,8.31%,6.61%,2.80,1.46M,0.40,10.61,1.14%,"181,750"
522,TCRT,21.84%,10.04%,-23.22%,-39.61%,-80.47%,-9.14%,15.08%,13.65%,-,2.27M,0.61,0.95,-3.99%,"426,701"
523,TDS,-0.06%,-13.86%,-6.42%,-14.59%,-6.06%,-14.59%,4.48%,3.99%,2.20,1.33M,0.25,17.63,2.44%,"100,316"
524,TDUP,8.23%,-3.14%,-56.65%,-58.66%,-,-37.15%,10.95%,9.42%,1.90,1.17M,0.43,8.25,2.87%,"156,819"
525,TEN,90.78%,88.70%,73.88%,15.74%,65.42%,68.50%,1.56%,3.95%,2.70,1.56M,3.83,19.08,0.21%,"1,839,407"
526,TGB,3.21%,4.32%,-9.81%,9.66%,11.56%,-5.85%,4.96%,4.39%,2.00,1.91M,0.88,1.98,2.60%,"519,792"
527,TGTX,2.18%,5.76%,-55.95%,-61.48%,-77.06%,-45.84%,7.64%,8.12%,2.00,2.39M,0.68,10.49,1.94%,"500,740"
528,TIGR,9.71%,17.40%,-25.54%,-66.29%,-80.97%,-7.94%,9.17%,8.08%,1.90,3.97M,1.03,4.31,-4.65%,"1,265,984"
529,TISI,-4.43%,51.35%,-37.55%,-79.04%,-91.93%,-18.06%,18.27%,18.28%,2.00,1.88M,0.31,0.88,-1.09%,"180,195"
530,TKAT,-10.84%,-17.47%,-57.55%,-78.82%,-31.69%,-45.19%,10.03%,9.92%,-,1.43M,0.10,2.22,-0.00%,"44,975"
531,TKLF,-7.79%,-33.82%,-,-,-,-92.97%,12.16%,12.27%,-,5.02M,0.15,2.10,-6.63%,"228,391"
532,TLMD,0.34%,381.05%,38.39%,9.77%,-62.76%,128.13%,1.52%,4.10%,1.80,1.23M,0.25,2.92,0.17%,"94,000"
533,TMC,3.87%,29.84%,-47.56%,-83.87%,-84.59%,-22.60%,9.44%,10.29%,2.70,1.51M,0.77,1.50,-6.52%,"356,212"
534,TNXP,3.36%,-15.85%,-60.62%,-72.89%,-84.60%,-47.47%,10.28%,9.74%,2.00,16.82M,1.75,0.20,5.43%,"9,076,106"
535,TPIC,43.16%,24.71%,-23.75%,-64.30%,-71.17%,-6.22%,16.56%,8.84%,2.60,1.19M,1.35,12.44,-11.33%,"495,732"
536,TTMI,1.14%,-5.78%,-11.87%,-11.93%,-12.12%,-16.78%,2.69%,3.81%,1.80,1.07M,0.51,12.73,2.66%,"169,279"
537,TTOO,-6.32%,12.59%,-32.33%,-54.98%,-80.90%,-17.86%,8.52%,9.58%,1.70,1.79M,0.42,0.41,-4.10%,"232,542"
538,TWO,-0.40%,-9.52%,-16.28%,-23.17%,-30.19%,-12.65%,3.70%,3.12%,2.80,4.93M,0.52,5.09,0.99%,"789,530"
539,TWOU,10.79%,-26.21%,-53.89%,-70.61%,-73.51%,-46.29%,8.22%,9.51%,1.90,2.55M,0.58,10.47,-2.88%,"457,221"
540,TXMD,4.01%,-20.42%,-60.38%,-71.85%,-84.44%,-36.54%,13.06%,9.95%,2.00,6.67M,0.65,0.22,-0.62%,"1,332,905"
541,TYME,0.96%,-1.93%,-56.99%,-71.36%,-84.25%,-47.77%,8.75%,8.59%,2.00,1.13M,1.00,0.31,-0.54%,"350,940"
542,UAVS,16.96%,0.00%,-50.45%,-67.26%,-86.39%,-29.94%,13.14%,9.32%,-,1.94M,1.62,1.08,-1.82%,"967,927"
543,UBX,-8.25%,-23.84%,-60.09%,-73.98%,-88.71%,-43.14%,12.48%,10.25%,2.00,1.05M,0.60,0.81,-2.29%,"192,103"
544,UEC,35.22%,63.45%,-5.13%,69.58%,71.01%,21.49%,12.86%,9.09%,1.60,9.68M,1.91,4.05,-0.61%,"5,713,560"
545,UP,0.00%,0.59%,-25.22%,-49.85%,-68.04%,-26.51%,7.33%,7.41%,2.40,2.59M,0.81,3.40,-0.32%,"647,958"
546,URG,33.33%,40.54%,0.65%,28.93%,30.00%,27.87%,8.55%,6.86%,-,2.48M,2.79,1.63,4.81%,"2,130,820"
547,USA,0.14%,-5.17%,-14.35%,-14.76%,-4.02%,-14.56%,3.40%,2.41%,-,1.46M,1.37,7.34,2.49%,"615,644"
548,UUUU,34.51%,44.48%,-9.80%,63.67%,35.38%,9.83%,9.01%,6.91%,2.00,3.02M,2.63,8.55,2.03%,"2,447,892"
549,UXIN,-1.79%,-1.79%,-56.35%,-70.68%,-18.83%,-37.84%,11.87%,9.74%,3.00,1.06M,0.40,0.99,0.37%,"131,270"
550,VBIV,4.29%,-8.75%,-48.41%,-58.87%,-56.02%,-37.61%,11.09%,7.72%,1.00,2.94M,0.23,1.47,0.68%,"211,822"
551,VCNX,3.82%,20.35%,-16.56%,-41.38%,-61.03%,30.77%,7.49%,14.45%,1.00,1.30M,0.06,1.33,-2.21%,"22,250"
552,VEON,-71.85%,-73.43%,-78.53%,-82.41%,-78.41%,-77.78%,30.13%,10.96%,2.10,7.88M,9.35,0.47,24.71%,"22,709,304"
553,VERU,2.58%,17.30%,-25.77%,-36.09%,-60.31%,-5.60%,7.56%,7.09%,1.60,1.37M,0.24,5.53,-0.54%,"101,222"
554,VGR,0.00%,-1.51%,-28.98%,-25.50%,-19.45%,-3.31%,2.91%,2.50%,2.00,1.15M,0.65,11.64,4.82%,"229,231"
555,VIEW,-4.50%,-1.76%,-46.78%,-54.77%,-77.47%,-42.97%,15.63%,10.70%,2.50,1.65M,0.26,2.09,-6.27%,"133,123"
556,VINE,-9.74%,0.72%,-,-,-,-18.24%,8.82%,9.58%,-,1.27M,0.04,4.09,-1.92%,"17,475"
557,VKTX,-2.38%,-8.38%,-38.35%,-49.85%,-52.19%,-28.70%,6.36%,5.78%,1.60,1.10M,0.44,3.31,0.91%,"148,363"
558,VLDR,-5.77%,-0.55%,-34.96%,-45.19%,-77.56%,-22.63%,8.85%,8.78%,2.70,5.14M,0.82,3.43,-4.33%,"1,303,375"
559,VLTA,-7.89%,-3.45%,-59.38%,-56.43%,-64.88%,-42.78%,12.82%,9.82%,2.20,2.09M,1.85,4.14,-1.55%,"1,193,304"
560,VNET,2.40%,-9.87%,-26.81%,-59.12%,-79.50%,-15.06%,12.26%,9.56%,1.70,2.66M,0.64,7.33,-4.43%,"525,194"
561,VRAY,18.29%,0.98%,-21.14%,-29.23%,-8.20%,-24.86%,7.75%,6.45%,1.70,1.53M,0.64,4.16,0.60%,"301,972"
562,VRM,-45.65%,-53.97%,-77.95%,-88.10%,-93.21%,-69.88%,17.96%,11.43%,2.10,5.21M,9.69,3.07,-5.62%,"15,560,943"
563,VSTM,-0.83%,-16.67%,-53.67%,-55.06%,-49.58%,-41.46%,9.30%,8.17%,1.70,1.65M,0.49,1.21,0.83%,"250,177"
564,VTGN,0.74%,-11.04%,-26.34%,-53.40%,-42.68%,-29.74%,7.93%,7.72%,1.20,1.24M,0.26,1.39,1.82%,"101,114"
565,VTNR,32.93%,77.96%,34.55%,-9.56%,296.41%,46.14%,10.68%,9.87%,1.70,2.47M,1.35,6.55,-1.13%,"1,025,667"
566,VUZI,3.01%,-6.17%,-51.25%,-56.31%,-75.92%,-36.91%,10.48%,8.00%,2.00,2.17M,1.35,5.30,-3.02%,"902,325"
567,VVOS,4.72%,42.57%,34.98%,-32.12%,-50.97%,57.78%,13.93%,11.33%,2.00,2.25M,0.07,3.56,0.21%,"48,803"
568,VXRT,5.56%,7.63%,-34.57%,-44.05%,-30.81%,-21.21%,12.34%,7.90%,2.00,3.00M,0.67,4.99,1.01%,"620,904"
569,VYNE,5.49%,-1.86%,-44.51%,-67.36%,-92.38%,-45.60%,8.82%,8.41%,2.00,2.99M,0.08,0.56,0.92%,"77,949"
570,WETF,-2.00%,-3.57%,-14.01%,-13.88%,-6.25%,-11.76%,4.58%,3.08%,2.70,1.11M,0.33,5.55,2.69%,"113,652"
571,WIMI,3.07%,2.28%,-35.34%,-35.80%,-70.21%,-11.51%,7.85%,6.72%,2.00,1.46M,0.66,2.63,-2.23%,"295,586"
572,WISH,10.73%,-1.73%,-42.68%,-68.38%,-87.94%,-27.01%,10.45%,9.86%,3.00,23.32M,1.28,2.12,-6.39%,"9,216,775"
573,WKHS,23.43%,28.97%,-36.50%,-61.52%,-76.81%,-14.22%,13.27%,10.02%,2.50,6.15M,2.44,3.56,-4.95%,"4,620,145"
574,WPRT,6.12%,-12.36%,-35.54%,-59.69%,-84.38%,-34.18%,8.10%,7.16%,2.50,1.87M,0.42,1.57,0.64%,"240,553"
575,WTER,1.88%,-17.37%,-30.80%,-54.73%,-29.66%,-27.87%,10.73%,7.54%,2.00,1.24M,0.17,0.86,0.86%,"65,365"
576,WTI,22.54%,22.54%,43.94%,57.23%,58.70%,58.20%,6.01%,5.70%,1.50,2.57M,3.59,5.24,2.64%,"2,848,352"
577,WTRH,29.82%,-4.84%,-49.73%,-58.69%,-83.85%,-27.99%,16.74%,9.15%,1.70,3.26M,0.68,0.52,-2.35%,"684,464"
578,WW,-5.60%,-22.50%,-41.51%,-57.00%,-72.17%,-40.42%,6.58%,5.26%,2.50,1.49M,2.95,10.62,10.51%,"1,357,631"
579,XCUR,22.61%,34.38%,-55.83%,-84.34%,-90.75%,3.86%,15.22%,14.32%,2.50,10.21M,4.50,0.24,13.43%,"14,176,812"
580,XELA,-12.40%,-3.26%,-54.56%,-73.53%,-73.41%,-30.60%,8.88%,12.48%,2.00,37.85M,0.31,0.60,-0.76%,"3,653,290"
581,XERS,0.00%,14.98%,16.67%,-13.45%,-53.33%,-18.77%,8.22%,7.48%,1.60,3.10M,0.29,2.38,0.00%,"280,390"
582,XL,1.66%,-4.17%,-58.56%,-72.66%,-88.46%,-44.41%,12.77%,9.74%,3.00,3.34M,2.30,2.09,13.32%,"2,367,730"
583,XSPA,-5.31%,-20.15%,-37.06%,-39.89%,-40.56%,-47.03%,7.28%,6.05%,-,2.47M,0.38,1.07,0.00%,"291,732"
584,XXII,1.82%,9.80%,-12.50%,-35.26%,-25.58%,-27.51%,9.76%,8.37%,2.00,4.07M,0.36,2.32,3.57%,"453,824"
585,YEXT,-1.37%,-4.89%,-27.49%,-46.71%,-59.37%,-27.42%,5.44%,4.97%,2.60,1.49M,0.77,7.18,-0.21%,"352,687"
586,YSG,-5.04%,-0.75%,-53.85%,-71.61%,-93.16%,-38.60%,7.62%,8.72%,2.40,3.61M,0.44,1.32,-0.38%,"486,180"
587,ZEV,12.03%,27.64%,-27.66%,-38.61%,-57.69%,-11.65%,9.29%,9.72%,2.00,1.41M,0.15,5.46,2.82%,"65,544"
588,ZGNX,0.80%,1.31%,131.23%,80.42%,29.03%,62.22%,0.75%,0.80%,1.70,2.67M,0.37,26.40,0.15%,"302,025"
589,ZH,-4.97%,-11.20%,-55.60%,-66.15%,-,-41.34%,7.74%,7.72%,1.90,2.32M,0.92,3.08,-5.26%,"661,467"
590,ZOM,8.29%,37.83%,-4.83%,-35.47%,-81.15%,30.41%,17.58%,12.96%,2.00,17.65M,1.42,0.37,-7.01%,"7,711,192"
591,ZSAN,24.62%,-61.43%,-72.54%,-76.00%,-87.04%,-65.53%,18.57%,10.61%,1.70,6.78M,2.42,0.17,5.56%,"5,067,545"
